Reference, Value, Footprint, Datasheet, Manufacturer, Manufacturer Part #, Digikey Part #, Cost, NOTE:
V1,Ext. 12V wire,Ben_Custom:SolderWirePad_single_1-5mmDrill-square,http://www.cui.com/product/resource/sdi40-u.pdf,CUI Inc.,SDI40-12-UC-P5,102-4112-ND,23.06,12v 200mV p-p 3A max
J3,TEST_1P,Ben_Custom:CC_silkscreen,https://media.digikey.com/pdf/Data%20Sheets/Arduino%20PDFs/A000046.pdf,Arduino,A000066,1050-1024-ND,23.38,Official Arduino Uno
P3,Digital,Socket_Arduino_Uno:Socket_Strip_Arduino_1x10,https://media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/85_Web.pdf,Adafruit Industries LLC,85,1528-1074-ND,1.95,"Comes as complete set, only buy 1 "
J1,LED connect,Ben_Custom:SolderWirePad_2x_1-2mmDrill-BNC,https://cdn-shop.adafruit.com/product-files/909/909technicaldrawing.pdf,Adafruit Industries LLC,909,1528-1572-ND,4.95,Cat5e jack
MN2,BSH103,TO_SOT_Packages_SMD:SOT-23,https://assets.nexperia.com/documents/data-sheet/BSH103.pdf,Nexperia USA Inc.,"BSH103,235",1727-1883-1-ND,0.44,0.85A max
SW1,TS5A3166,TO_SOT_Packages_SMD:SOT-353_SC-70-5,http://www.ti.com/lit/ds/symlink/ts5a3166.pdf,Texas Instruments,TS5A3166DCKR,296-17741-1-ND,0.56,0.9 Ohm  - 10 ns switch time
C1,100uF,Capacitors_SMD:C_1210,http://www.yageo.com/documents/recent/UPY-GPHC_X5R_4V-to-50V_25.pdf,Yageo,CC1210MKX5R7BB107,311-2052-1-ND,1.82,Resonant at approx 1 MHz
A5,Conn_Coaxial_Power,Ben_Custom:SolderWirePad_2x_1-2mmDrill-BNC,http://muellerelectric.com/wp-content/uploads/BU-P4969.pdf,Mueller Electric Co,BU-P4969,314-1190-ND,7.99,20AWG wire - 1mm diameter
0.3,Conn_Coaxial_Power,Ben_Custom:SolderWirePad_2x_1-2mmDrill-BNC,http://muellerelectric.com/wp-content/uploads/BU-P4969.pdf,Mueller Electric Co,BU-P4969,314-1190-ND,7.99,20AWG wire - 1mm diameter
0.2,Conn_Coaxial_Power,Ben_Custom:SolderWirePad_2x_1-2mmDrill-BNC,http://muellerelectric.com/wp-content/uploads/BU-P4969.pdf,Mueller Electric Co,BU-P4969,314-1190-ND,7.99,20AWG wire - 1mm diameter
0.4,Conn_Coaxial_Power,Ben_Custom:SolderWirePad_2x_1-2mmDrill-BNC,http://muellerelectric.com/wp-content/uploads/BU-P4969.pdf,Mueller Electric Co,BU-P4969,314-1190-ND,7.99,20AWG wire - 1mm diameter
A4,Conn_Coaxial_Power,Ben_Custom:SolderWirePad_2x_1-2mmDrill-BNC,http://muellerelectric.com/wp-content/uploads/BU-P4969.pdf,Mueller Electric Co,BU-P4969,314-1190-ND,7.99,20AWG wire - 1mm diameter
A3,Conn_Coaxial_Power,Ben_Custom:SolderWirePad_2x_1-2mmDrill-BNC,http://muellerelectric.com/wp-content/uploads/BU-P4969.pdf,Mueller Electric Co,BU-P4969,314-1190-ND,7.99,20AWG wire - 1mm diameter
DAC-0,Conn_Coaxial_Power,Ben_Custom:SolderWirePad_2x_1-2mmDrill-BNC,http://muellerelectric.com/wp-content/uploads/BU-P4969.pdf,Mueller Electric Co,BU-P4969,314-1190-ND,7.99,20AWG wire - 1mm diameter
U1,heatsink,Ben_Custom:40x40mm-heatsink_only-half-pad,https://www.alliedelec.com/m/d/1151ccd4c429dd13c6b9df1c39e593fe.pdf,Wakefield-Vette,910-40-2-23-2-B-0,345-1161-ND,6.65,Clip is too big - needs thermal glue
R1,4.7,Resistors_SMD:R_2512,http://www.susumu.co.jp/common/pdf/CPA.pdf,Susumu,CPA2512Q4R70FS-T10,408-1661-1-ND,2.93,16W
TH1,Thermistor,Resistors_SMD:R_1206,http://datasheets.avx.com/nc12-20.pdf,AVX Corporation,NC20K00103KBA,478-10982-1-ND,0.43,Excel file of response curve voltages
